t,mode,bill_x,bill_y,pioneer_x,pioneer_y,distance,error,heading_error,control_v,control_w,integral,derivative,bill_state,bill_speed,wheel_left_linear,wheel_right_linear,wheel_left_omega,wheel_right_omega,u_left,u_right,du_left,du_right,wheel_left_power,wheel_right_power,yaw_power,total_power,energy_j
0.000,"LQR",1.09602,1.09602,1.67608,0.51596,-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,"WALKING",0.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.050,"LQR",1.09141,1.10060,1.67581,0.51623,0.82033,0.00033,0.00006,0.01443,-0.00468,0.00002,0.00000,"WALKING",0.13001,0.01521,0.01366,0.15599,0.14011,0.15599,0.14011,0.15599,0.14011,0.05766,0.05178,0.00031,0.10976,0.00549
0.100,"LQR",1.08678,1.10517,1.67498,0.51707,0.82645,0.00645,0.00037,0.03026,-0.03204,0.00034,0.00673,"WALKING",0.13004,0.03557,0.02496,0.36479,0.25602,0.36479,0.25602,0.20880,0.11590,0.14349,0.10053,0.01262,0.25665,0.01832
0.150,"LQR",1.08214,1.10972,1.67356,0.51851,0.83177,0.01177,0.00208,0.04709,-0.07461,0.00093,0.01221,"WALKING",0.13008,0.05943,0.03474,0.60957,0.35630,0.60957,0.35630,0.24479,0.10028,0.25040,0.14582,0.04573,0.44195,0.04042
0.250,"LQR",1.07278,1.11877,1.66894,0.52332,0.83986,0.01986,0.01252,0.08223,-0.18303,0.00273,0.01954,"WALKING",0.13023,0.11252,0.05194,1.15407,0.53270,1.15407,0.53270,0.27768,0.08559,0.49431,0.22618,0.14913,0.86962,0.11650
0.350,"LQR",1.03586,1.15365,1.66260,0.53017,0.88677,0.06677,0.03562,0.09993,-0.12149,0.00720,0.06888,"WALKING",0.13044,0.12004,0.07982,1.23113,0.81869,1.23113,0.81869,-0.20265,0.20277,0.17725,0.11585,0.20892,0.50202,0.19553
0.450,"LQR",1.02595,1.16248,1.65593,0.53739,0.87516,0.05516,0.04312,0.11005,0.09030,0.01316,0.04890,"WALKING",0.13073,0.09511,0.12500,0.97546,1.28204,0.97546,1.28204,-0.06872,0.27629,0.29765,0.39356,0.13216,0.82337,0.25223
0.550,"LQR",1.01959,1.16793,1.64745,0.54628,0.89559,0.07559,0.03240,0.13652,0.19788,0.02031,0.06540,"WALKING",0.13109,0.10377,0.16927,1.06428,1.73608,1.06428,1.73608,0.09207,0.19855,0.39465,0.65076,0.08937,1.13479,0.36105
0.600,"LQR",1.02011,1.16728,1.64240,0.55142,0.88355,0.06355,0.02268,0.14927,0.19309,0.02349,0.04856,"WALKING",0.13130,0.11731,0.18122,1.20318,1.85870,1.20318,1.85870,0.13889,0.12262,0.41969,0.65566,0.01333,1.08867,0.41549
0.650,"LQR",1.01866,1.16846,1.63689,0.55694,0.87551,0.05551,0.01331,0.16126,0.16153,0.02627,0.03704,"WALKING",0.13153,0.13453,0.18800,1.37977,1.92816,1.37977,1.92816,0.17660,0.06946,0.46603,0.65759,0.07341,1.19703,0.47534
0.700,"LQR",1.01368,1.17277,1.63094,0.56283,0.86958,0.04958,0.00556,0.17272,0.11148,0.02875,0.02849,"WALKING",0.13177,0.15427,0.19117,1.58229,1.96076,1.58229,1.96076,0.20252,0.03260,0.52277,0.65227,0.08035,1.25539,0.53811
0.750,"LQR",1.00869,1.17707,1.62456,0.56911,0.86778,0.04778,0.00053,0.18418,0.04962,0.03113,0.02494,"WALKING",0.13203,0.17597,0.19239,1.80477,1.97321,1.80477,1.97321,0.22248,0.01245,0.59842,0.65626,0.04420,1.29888,0.60305
0.800,"LQR",1.00366,1.18136,1.61780,0.57579,0.86540,0.04540,-0.00139,0.19535,-0.01888,0.03340,0.02095,"WALKING",0.13231,0.19847,0.19222,2.03561,1.97152,2.03561,1.97152,0.23084,-0.00169,0.66854,0.64674,0.01862,1.33390,0.66975
0.850,"LQR",0.99860,1.18564,1.61070,0.58286,0.86249,0.04249,0.00016,0.20601,-0.09003,0.03553,0.01659,"WALKING",0.13261,0.22091,0.19111,2.26579,1.96014,2.26579,1.96014,0.23018,-0.01138,0.72889,0.62697,0.09225,1.44811,0.74215
