t,mode,bill_x,bill_y,pioneer_x,pioneer_y,distance,error,heading_error,control_v,control_w,integral,derivative,bill_state,bill_speed,wheel_left_linear,wheel_right_linear,wheel_left_omega,wheel_right_omega,u_left,u_right,du_left,du_right,wheel_left_power,wheel_right_power,yaw_power,total_power,energy_j
0.000,"P",1.09602,1.09602,1.82026,0.39976,-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,"WALKING",0.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.050,"P",1.09141,1.10060,1.82003,0.40000,1.00464,0.18464,0.01979,0.01163,0.00267,0.00923,0.00000,"WALKING",0.13001,0.01119,0.01207,0.11475,0.12382,0.11475,0.12382,0.11475,0.12382,0.03721,0.04016,0.00010,0.07748,0.00387
0.100,"P",1.08678,1.10517,1.81944,0.40060,1.01081,0.19081,0.01960,0.02190,0.00505,0.01877,0.02711,"WALKING",0.13004,0.02107,0.02274,0.21608,0.23323,0.21608,0.23323,0.10133,0.10941,0.06549,0.07071,0.00017,0.13637,0.01069
0.150,"P",1.08214,1.10972,1.81851,0.40154,1.01646,0.19646,0.01933,0.03099,0.00716,0.02860,0.04605,"WALKING",0.13008,0.02981,0.03218,0.30574,0.33003,0.30574,0.33003,0.08965,0.09680,0.08700,0.09396,0.00022,0.18118,0.01975
0.250,"P",1.07278,1.11877,1.81586,0.40420,1.02645,0.20645,0.01861,0.04619,0.01062,0.04900,0.06693,"WALKING",0.13023,0.04444,0.04795,0.45575,0.49179,0.45575,0.49179,0.07057,0.07604,0.11586,0.12513,0.00025,0.24123,0.04258
0.350,"P",1.03639,1.15315,1.81223,0.40783,1.07559,0.25559,0.01785,0.06077,0.01321,0.07233,0.25262,"WALKING",0.13044,0.05858,0.06295,0.60082,0.64567,0.60082,0.64567,0.08223,0.08633,0.16360,0.17599,0.00023,0.33982,0.07262
0.450,"P",1.02890,1.15975,1.80766,0.41238,1.06941,0.24941,0.01694,0.07331,0.01511,0.09759,0.12628,"WALKING",0.13073,0.07081,0.07581,0.72627,0.77758,0.72627,0.77758,0.05542,0.05834,0.16710,0.17914,0.00019,0.34642,0.10756
0.550,"P",1.01845,1.16896,1.80230,0.41769,1.09423,0.27423,0.01639,0.08413,0.01647,0.12427,0.17638,"WALKING",0.13109,0.08140,0.08686,0.83491,0.89083,0.83491,0.89083,0.05510,0.05723,0.19170,0.20484,0.00015,0.39669,0.14574
0.600,"P",1.01979,1.16757,1.79935,0.42061,1.08574,0.26574,0.01574,0.08825,0.01695,0.13756,0.10024,"WALKING",0.13130,0.08544,0.09106,0.87636,0.93390,0.87636,0.93390,0.04145,0.04307,0.18232,0.19462,0.00012,0.37705,0.16459
0.650,"P",1.01851,1.16859,1.79629,0.42363,1.07965,0.25965,0.01508,0.09137,0.01729,0.15054,0.05139,"WALKING",0.13153,0.08851,0.09423,0.90777,0.96647,0.90777,0.96647,0.03141,0.03257,0.17440,0.18602,0.00008,0.36050,0.18261
0.700,"P",1.01436,1.17217,1.79314,0.42674,1.07699,0.25699,0.01446,0.09385,0.01751,0.16339,0.02837,"WALKING",0.13177,0.09095,0.09675,0.93286,0.99232,0.93286,0.99232,0.02509,0.02585,0.16983,0.18100,0.00006,0.35089,0.20016
0.750,"P",1.00936,1.17648,1.78990,0.42994,1.07804,0.25804,0.01396,0.09603,0.01765,0.17629,0.02674,"WALKING",0.13203,0.09311,0.09895,0.95496,1.01487,0.95496,1.01487,0.02210,0.02255,0.16927,0.18025,0.00003,0.34956,0.21764
0.800,"P",1.00433,1.18077,1.78658,0.43320,1.08008,0.26008,0.01351,0.09801,0.01771,0.18929,0.02983,"WALKING",0.13231,0.09508,0.10094,0.97516,1.03527,0.97516,1.03527,0.02020,0.02040,0.16986,0.18071,0.00002,0.35059,0.23516
0.850,"P",0.99928,1.18505,1.78321,0.43651,1.08202,0.26202,0.01308,0.09981,0.01770,0.20239,0.03182,"WALKING",0.13261,0.09688,0.10274,0.99368,1.05377,0.99368,1.05377,0.01852,0.01850,0.17041,0.18110,0.00000,0.35151,0.25274
0.900,"P",0.99420,1.18932,1.77976,0.43988,1.08391,0.26391,0.01266,0.10147,0.01764,0.21559,0.03313,"WALKING",0.13292,0.09855,0.10439,1.01074,1.07062,1.01074,1.07062,0.01706,0.01685,0.17097,0.18149,0.00002,0.35248,0.27036
