t,mode,bill_x,bill_y,pioneer_x,pioneer_y,distance,error,heading_error,control_v,control_w,integral,derivative,bill_state,bill_speed,wheel_left_linear,wheel_right_linear,wheel_left_omega,wheel_right_omega,u_left,u_right,du_left,du_right,wheel_left_power,wheel_right_power,yaw_power,total_power,energy_j
0.000,"PID",1.09602,1.09602,1.82026,0.39976,-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,"WALKING",0.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.050,"PID",1.09141,1.10060,1.81859,0.40144,1.00464,0.18464,0.01979,0.05227,0.01464,0.00923,0.00000,"WALKING",0.13001,0.04984,0.05469,0.51122,0.56093,0.51122,0.56093,0.51122,0.56093,0.50120,0.55011,0.00309,1.05440,0.05272
0.100,"PID",1.08678,1.10517,1.81563,0.40440,1.00877,0.18877,0.01904,0.08877,0.02240,0.01867,0.01817,"WALKING",0.13004,0.08506,0.09247,0.87240,0.94845,0.87240,0.94845,0.36119,0.38752,0.63591,0.69177,0.00250,1.33018,0.11923
0.150,"PID",1.08214,1.10972,1.81181,0.40820,1.01109,0.19109,0.01795,0.11338,0.02603,0.02823,0.02436,"WALKING",0.13008,0.10907,0.11769,1.11868,1.20703,1.11868,1.20703,0.24628,0.25859,0.60314,0.65142,0.00136,1.25592,0.18203
0.250,"PID",1.07278,1.11877,1.80271,0.41722,1.01253,0.19253,0.01549,0.13934,0.02700,0.04746,0.02008,"WALKING",0.13023,0.13487,0.14381,1.38332,1.47497,1.38332,1.47497,0.10262,0.10181,0.42209,0.45087,0.00009,0.87305,0.27902
0.350,"PID",1.03377,1.15562,1.79084,0.42891,1.07439,0.25439,0.01344,0.20122,0.02500,0.06980,0.28451,"WALKING",0.13044,0.19708,0.20536,2.02135,2.10623,2.02135,2.10623,0.57557,0.57223,2.12001,2.21010,0.00035,4.33046,0.53143
0.450,"PID",1.01650,1.17125,1.77582,0.44365,1.07042,0.25042,0.01196,0.22663,0.02269,0.09379,0.17983,"WALKING",0.13073,0.22287,0.23038,2.28587,2.36291,2.28587,2.36291,0.19656,0.19352,1.04269,1.07892,0.00029,2.12190,0.69123
0.550,"PID",1.02110,1.16654,1.76153,0.45762,1.03194,0.21194,0.01023,0.19494,0.01978,0.11597,-0.04173,"WALKING",0.13109,0.19167,0.19822,1.96585,2.03301,1.96585,2.03301,-0.23485,-0.24005,1.02370,1.05949,0.00044,2.08362,0.85967
0.600,"PID",1.01616,1.17085,1.75545,0.46354,1.02508,0.20508,0.00957,0.17625,0.01853,0.12623,-0.06274,"WALKING",0.13130,0.17318,0.17932,1.77625,1.83918,1.77625,1.83918,-0.18960,-0.19383,0.79553,0.82441,0.00033,1.62027,0.94069
0.650,"PID",1.01118,1.17515,1.74977,0.46907,1.02315,0.20315,0.00909,0.16508,0.01753,0.13639,-0.05743,"WALKING",0.13153,0.16218,0.16799,1.66341,1.72293,1.66341,1.72293,-0.11285,-0.11625,0.54252,0.56255,0.00025,1.10532,0.99595
0.700,"PID",1.00025,1.18471,1.74431,0.47437,1.02179,0.20179,0.00865,0.15895,0.01664,0.14647,-0.05078,"WALKING",0.13177,0.15619,0.16170,1.60199,1.65849,1.60199,1.65849,-0.06142,-0.06444,0.39219,0.40659,0.00021,0.79900,1.03590
0.750,"PID",0.98458,1.19831,1.73871,0.47981,1.02869,0.20869,0.00855,0.16274,0.01624,0.15691,-0.00927,"WALKING",0.13203,0.16005,0.16542,1.64151,1.69665,1.64151,1.69665,0.03952,0.03817,0.34024,0.35223,0.00009,0.69256,1.07053
0.800,"PID",0.97147,1.20947,1.73260,0.48573,1.04161,0.22161,0.00879,0.17666,0.01641,0.16799,0.04962,"WALKING",0.13231,0.17395,0.17938,1.78405,1.83975,1.78405,1.83975,0.14255,0.14310,0.66229,0.68358,0.00004,1.34591,1.13783
