t,mode,bill_x,bill_y,pioneer_x,pioneer_y,distance,error,heading_error,control_v,control_w,integral,derivative,wheel_left_linear,wheel_right_linear,wheel_left_omega,wheel_right_omega,u_left,u_right,du_left,du_right,wheel_left_power,wheel_right_power,yaw_power,total_power,energy_j,follower_state,bill_state,bill_speed
0.05,P,1.0960155108391487,1.0960155108391487,1.8202635469114015,0.3997585153484947,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INIT,WALKING,0.13
0.1,P,1.0914095857811181,1.1006021606670997,1.8200292791807762,0.40000231901048533,1.004643728654187,0.184643728654187,0.019788971386072163,0.011630277305582543,0.0026715111371197423,0.009232186432709349,0.0,0.011188142212389226,0.01207241239877586,0.11475017653732539,0.12381961434641908,0.11475017653732539,0.12381961434641908,0.11475017653732539,0.12381961434641908,0.03721240213205977,0.04016027329061175,0.00010277239328286938,0.07747544781595439,0.00387377239079772,FOLLOWING,WALKING,0.13000906540451962
0.15,P,1.0867838201425495,1.10517009020167,1.8194395394785634,0.40060238646039525,1.0108050236020223,0.19080502360202234,0.019603046090017617,0.02190414261367863,0.005050771245560147,0.018772437612810465,0.02710969777047554,0.021068239972538427,0.022740045254818833,0.21608451253885566,0.23323123338275725,0.21608451253885566,0.23323123338275725,0.10133433600153027,0.10941161903633817,0.06549031392073218,0.07071109094402082,0.00017304621899643519,0.13637445108374946,0.010692494944985193,FOLLOWING,WALKING,0.13003625979182154
0.2,P,1.0821376383999037,1.109719843725559,1.8185062111083752,0.4015408070967796,1.0164644864583439,0.1964644864583439,0.019334265755960534,0.030993470544574714,0.007155819998058805,0.028595661935727663,0.046047200828785835,0.029809182334895983,0.032177758754253445,0.30573520343483057,0.33002829491541996,0.30573520343483057,0.33002829491541996,0.08965069089597491,0.09679706153266271,0.08699969589953817,0.09396061753940432,0.00021691223942426824,0.18117722567836675,0.019751356228903533,FOLLOWING,WALKING,0.1300815776835031
0.25,P,1.077470455097715,1.1142519546276433,1.8173077378378806,0.4027483533940184,1.0216438825702316,0.2016438825702317,0.018995627561257056,0.0390457226955632,0.009004647719022627,0.03867785606423925,0.058706159538759184,0.03755545349806496,0.040535991893061445,0.38518413844169186,0.4157537630057584,0.38518413844169186,0.4157537630057584,0.07944893500686129,0.08572546809033843,0.10336482272017174,0.11164449040471044,0.00023973180941437472,0.21524904493429656,0.03051380847561836,FOLLOWING,WALKING,0.13014500995011935
0.3,P,1.07278167509025,1.1187669451635391,1.8158594111420885,0.4041962813671766,1.0264485274482928,0.2064485274482929,0.018606287043164027,0.04619287024184923,0.010616031697947509,0.04900028243665389,0.06693124190370148,0.04443591699583892,0.04794982348785955,0.4557529948291171,0.4917930614139441,0.4557529948291171,0.4917930614139441,0.07056885638742522,0.07603929840818568,0.11585890764337242,0.1251271518167399,0.000246333648928771,0.24123239310904107,0.04257542813107041,FOLLOWING,WALKING,0.13022654381302246
0.35,P,1.0386947082351705,1.151197844503299,1.8141827820990717,0.40587090660737346,1.0309101587307694,0.21091015873076946,0.01814015034171801,0.05254909356592972,0.01200334882428469,0.05954579037319237,0.07183754632778404,0.0505625393355106,0.054535647796348834,0.5185901470308779,0.5593399773984495,0.5185901470308779,0.5593399773984495,0.06283715220176084,0.06754691598450546,0.12542999016840298,0.1354227990020885,0.00023979530012154364,0.261092584470613,0.055630057354601053,FOLLOWING,WALKING,0.13032616284693574
0.4,P,1.036392876700445,1.1531527244350166,1.8122277745155233,0.407827210095823,1.0755900692449984,0.2555900692449985,0.01785181851472961,0.06076633818137814,0.013213009441344719,0.07232529383544228,0.2526248923982794,0.058579585118835584,0.06295309124392069,0.6008162576290829,0.6456727307068789,0.6008162576290829,0.6456727307068789,0.08222611059820495,0.08633275330842938,0.16360215898379574,0.17599034415080003,0.00023015890301813352,0.3398226620376139,0.07262119045648174,FOLLOWING,WALKING,0.13044384698326272
0.45,P,1.0387305714355288,1.1507724330841824,1.8100363357752454,0.4100078354377364,1.0758391659503368,0.25583916595033684,0.017473009167848108,0.06776679453042243,0.014250564734869742,0.08511725213295912,0.19814344157414665,0.0654083260668015,0.07012526299404337,0.6708546263261692,0.719233466605573,0.6708546263261692,0.719233466605573,0.07003836869708635,0.07356073589869405,0.16982347376812693,0.18227910789015714,0.00021291478381994566,0.352315496442104,0.09023696527858693,FOLLOWING,WALKING,0.13057957251413005
0.5,P,1.0288967971486185,1.1597518866238508,1.807658838491689,0.4123756763676364,1.069413283642005,0.249413283642005,0.016942608161592876,0.07331255704514782,0.015112760363197806,0.09758791631505936,0.12627800227117422,0.07081139520503858,0.07581371888525705,0.7262707200516777,0.7775766039513543,0.7262707200516777,0.7775766039513543,0.055416093725508486,0.05834313734578134,0.1670967931285591,0.17914036393823976,0.00018763424520651078,0.3464247913120054,0.1075582048441872,FOLLOWING,WALKING,0.1307333120971635
0.55,P,1.0152134404228437,1.1721548224425051,1.8050981339660683,0.41491034542483396,1.07937088931181,0.25937088931180996,0.01661217135132187,0.0786537848885486,0.015844127459306478,0.11055646078064986,0.14231030671865777,0.07603158179403338,0.08127598798306382,0.7798110953234193,0.8335998767493725,0.7798110953234193,0.8335998767493725,0.0535403752717416,0.05602327279801822,0.17709967685123953,0.18958445475587168,0.00016686537826015647,0.3668509969853714,0.12590075469345577,FOLLOWING,WALKING,0.1309050347609961
0.6,P,1.0184482537754396,1.1689626229687755,1.8023015227099886,0.41768733446128437,1.0942289646448042,0.2742289646448043,0.016394067259144496,0.08412982032692283,0.016472913793360338,0.12426790901289007,0.1763775707057281,0.0814035530941217,0.08685608755972396,0.8349082368627866,0.89083166727922,0.8349082368627866,0.89083166727922,0.05509714153936729,0.057231790529847504,0.19169924727190146,0.20483846617024967,0.00014915438028449736,0.3966868678224357,0.14573509808457755,FOLLOWING,WALKING,0.13109470591150768
0.65,P,1.0197936872756348,1.1675668684531029,1.799350085362395,0.4206115932140433,1.0857442177333447,0.2657442177333448,0.015737795253008446,0.08825015973782266,0.016950224773180447,0.13755511989955732,0.10024161874004614,0.08544489753786129,0.09105542193778403,0.876357923465244,0.9339017634644515,0.876357923465244,0.9339017634644515,0.0414496866024574,0.0430700961852315,0.18232110231274298,0.1946152009274598,0.00011650360888307275,0.3770528068490858,0.16458773842703187,FOLLOWING,WALKING,0.13130228733879357
0.7,P,1.0185062089949644,1.1685896163398979,1.796291132910969,0.42363335723556794,1.0796528891294008,0.2596528891294009,0.015083728407388808,0.09136890693578785,0.01729150563085989,0.15053776435602736,0.051386616759882854,0.08850716275388054,0.09423065111769516,0.9077657718346722,0.9664682165917452,0.9077657718346722,0.9664682165917452,0.031407848369428226,0.03256645312729367,0.17439945189787512,0.18601773700426363,8.497814216067067e-05,0.36050216704429944,0.18261284677924686,FOLLOWING,WALKING,0.1315277372248625
0.75,P,1.0143566240230202,1.1721738065776843,1.7931399753104387,0.42674319079518863,1.0769908151185612,0.25699081511856126,0.014461816233347413,0.09385229921161266,0.017514700259275803,0.16338730511195543,0.028368435425014302,0.09095361631870251,0.0967509821045228,0.9328576032687437,0.9923177651745928,0.9328576032687437,0.9923177651745928,0.025091831434071454,0.025849548582847603,0.16982553155103414,0.18100419809889642,5.6292293033066103e-05,0.3508860219429636,0.20015714787639505,FOLLOWING,WALKING,0.1317710101520608
0.8,P,1.0093600447465698,1.1764791088648368,1.78990137730032,0.42993569884436056,1.0780400322753945,0.2580400322753945,0.013957077425128084,0.0960293930035947,0.017647435685740516,0.17628930672572515,0.026743935121577495,0.09310874239760464,0.09895004360958476,0.9549614604882527,1.0148722421495873,0.9549614604882527,1.0148722421495873,0.022103857219509027,0.022554476974994464,0.1692705144365118,0.18025473679443155,3.37311345852771e-05,0.3495589823655286,0.21763509699467148,FOLLOWING,WALKING,0.13203205711222193
0.85,P,1.004334911618937,1.180771857231353,1.7865829033892608,0.4332005616140493,1.0800795502507141,0.26007955025071416,0.013510406438476341,0.09800850035464151,0.017706596986360772,0.18929328423826086,0.029834148486236896,0.0950780585533988,0.10093894215588421,0.9751595749066544,1.0352712015988124,0.9751595749066544,1.0352712015988124,0.02019811441840169,0.020398959449225096,0.16986289711398903,0.18070712318395082,1.5084652424714131e-05,0.35058510495036455,0.23516435224218973,FOLLOWING,WALKING,0.1323108255165394
0.9,P,0.9992805274741444,1.1850524127384379,1.7832115396924677,0.43650997060065455,1.0820234575366834,0.26202345753668344,0.013077009460709554,0.09981329168953026,0.017701333564920485,0.20239445711509504,0.03182382787752956,0.09688372098453592,0.10274286239452461,0.9936791895849837,1.05377294763615,0.9936791895849837,1.05377294763615,0.0185196146783293,0.018501746037337563,0.17041265788980647,0.18109848748561858,1.3416419319448328e-06,0.351512487017357,0.2527399765930576,FOLLOWING,WALKING,0.1326072592061609
0.95,P,0.9941961888537089,1.1893211221511868,1.7797639652401909,0.4398847806825293,1.0839112600205063,0.26391126002050636,0.01266081011388831,0.10146637476079676,0.017640409573803358,0.21559002011612038,0.0331289166732939,0.0985468869763323,0.10438586254526121,1.010737302321357,1.0706242312334482,1.010737302321357,1.0706242312334482,0.017058112736373365,0.01685128359729826,0.17097470257947522,0.18148977790215612,1.5476027848946973e-05,0.35247995650948033,0.2703639744185316,FOLLOWING,WALKING,0.13292129846350176
1.0,P,0.9843340023274197,1.1976180094432158,1.7762673469296815,0.44330705393796566,1.0857124670974023,0.26571246709740237,0.01226311925257173,0.10298504528333748,0.017531889715520207,0.22887564347099051,0.03376586614351171,0.10008351753541889,0.10588657303125606,1.026497615747886,1.0860161336539083,1.026497615747886,1.0860161336539083,0.01576031342652895,0.015391902420460069,0.17151810017948557,0.18185091333634285,2.739683789804275e-05,0.35339641035372643,0.28803379493621795,FOLLOWING,WALKING,0.13325288002427532
1.05,P,0.9740789842982094,1.2061384121041416,1.7727071752604346,0.44678379011114694,1.0936834276371605,0.2736834276371606,0.012231380902178568,0.10477805468469537,0.017429937165762292,0.24255981485284853,0.0614096019668753,0.1018934000837617,0.10766270928562903,1.0450605136796072,1.1042329157500412,1.0450605136796072,1.1042329157500412,0.018562897931721167,0.018216782096132977,0.17934847998805353,0.18989541623082673,2.5589182120843927e-05,0.36926948540100113,0.30649726920626796,FOLLOWING,WALKING,0.13360193709023754
1.1,P,0.966028510778774,1.2127025741383697,1.769067369099724,0.4503310762048035,1.1020101766053345,0.28201017660533456,0.012284003891065431,0.10682664716076667,0.017345283974479896,0.25666032368311525,0.08453718499412821,0.10395600266299025,0.1096972916585431,1.066215411928105,1.1251004272671086,1.066215411928105,1.1251004272671086,0.021154898248497922,0.02086751151706734,0.18749827056412982,0.19825094679620014,2.1144004446803544e-05,0.38577036136477677,0.3257857872745068,FOLLOWING,WALKING,0.13396839934264387
1.15,P,0.9568740147942286,1.2201022601335196,1.7653572843938943,0.45394043889160834,1.1072857394705689,0.2872857394705689,0.012231091617269652,0.10890029788845644,0.01726195294536331,0.27102461065664374,0.08915148090245108,0.10604344467599881,0.11175715110091407,1.0876250735999877,1.1462271907786057,1.0876250735999877,1.1462271907786057,0.02140966167188263,0.021126763511497115,0.19184140827689244,0.20258100629987696,2.0713770770388716e-05,0.3944431283475398,0.3455079436918838,FOLLOWING,WALKING,0.13435219295641532
1.2,P,0.9468082400904174,1.228155593702027,1.761564654901075,0.4576215475755577,1.113844303999122,0.293844303999122,0.012310787155773273,0.11107604156283796,0.01719771391685637,0.28571682585659985,0.09839583902954536,0.10822981990959823,0.11392226321607768,1.1100494349702383,1.168433468882848,1.1100494349702383,1.168433468882848,0.02242436137025061,0.02220627810424225,0.1977692634597842,0.20858042031773752,1.590860785765166e-05,0.4063655923853794,0.3658262233111528,FOLLOWING,WALKING,0.13475324061501043
