t,mode,task_id,task_state,motion_mode,active_tool,b1_station,robot_x,robot_y,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,pose_error,kalman_covariance,control_v,control_w,control_tv
0.05,LQR,task1,PICKUP_T1,ARRIVED_TARGET,T1,WS1,-1.8601,-1.82021,-1.74,1.28,0.60083,-1.0,0.0,96.0,NORMAL,0,0,0,0.02761,0.00278,0.0,0.0,0.0
0.15,LQR,task1,PICKUP_T1,MANIPULATING,T1,WS1,-1.86011,-1.82023,-1.74,1.28,-1.0,-1.0,0.0,95.9975,NORMAL,0,0,0,0.02935,0.00114,0.0,0.0,0.0
0.3,LQR,task1,PICKUP_T1,MANIPULATING,T1,WS1,-1.86014,-1.82027,-1.74,1.28,-1.0,-1.0,0.0,95.99375,NORMAL,0,0,0,0.03003,0.00086,0.0,0.0,0.0
0.45,LQR,task1,PICKUP_T1,MANIPULATING,T1,WS1,-1.86017,-1.82031,-1.74,1.28,-1.0,-1.0,0.0,95.99,NORMAL,0,0,0,0.0308,0.00082,0.0,0.0,0.0
0.6,LQR,task1,PICKUP_T1,MANIPULATING,T1,WS1,-1.8602,-1.82035,-1.74,1.28,-1.0,-1.0,0.0,95.98625,NORMAL,0,0,0,0.03171,0.00082,0.0,0.0,0.0
0.7,LQR,task1,PICKUP_T1,MANIPULATING,T1,WS1,-1.86021,-1.82037,-1.74,1.28,-1.0,-1.0,0.0,95.98375,NORMAL,0,0,0,0.03222,0.00081,0.0,0.0,0.0
0.8,LQR,task1,PICKUP_T1,MANIPULATING,T1,WS1,-1.86023,-1.82039,-1.74,1.28,-1.0,-1.0,0.0,95.98125,NORMAL,0,0,0,0.0325,0.00081,0.0,0.0,0.0
0.9,LQR,task1,TO_WS1_DELIVER_T1,MANIPULATING,T1,WS1,-1.86024,-1.8204,-1.74,1.28,-1.0,-1.0,0.0,95.97875,NORMAL,0,0,0,0.03244,0.00081,0.0,0.0,0.0
1.05,LQR,task1,TO_WS1_DELIVER_T1,AVOIDING,T1,WS1,-1.84973,-1.80389,-1.74,1.28,3.09565,0.47023,0.0105,95.93997,NORMAL,0,0,0,0.03381,0.00081,0.3944,0.78227,0.58996
1.15,LQR,task1,TO_WS1_DELIVER_T1,AVOIDING,T1,WS1,-1.83355,-1.77772,-1.74,1.28,3.07358,0.49182,0.00769,95.88279,NORMAL,0,0,0,0.03259,0.00081,0.45784,0.90595,0.68433
1.25,LQR,task1,TO_WS1_DELIVER_T1,AVOIDING,T1,WS1,-1.81363,-1.74643,-1.74,1.28,3.04418,0.5202,0.00466,95.81901,NORMAL,0,0,0,0.02965,0.00082,0.47918,0.93003,0.71169
1.35,LQR,task1,TO_WS1_DELIVER_T1,AVOIDING,T1,WS1,-1.79064,-1.71034,-1.74,1.28,3.00992,0.55269,0.00212,95.75309,NORMAL,0,0,0,0.02648,0.00082,0.48636,0.89335,0.72804
1.45,LQR,task1,TO_WS1_DELIVER_T1,AVOIDING,T1,WS1,-1.76739,-1.66944,-1.74,1.28,2.97067,0.567,0.00731,95.68664,NORMAL,0,0,0,0.02249,0.00082,0.48878,0.80423,0.75273
