t,mode,task_id,task_state,motion_mode,active_tool,b1_station,robot_x,robot_y,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,pose_error,kalman_covariance,control_v,control_w,control_tv
0.05,P,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09973,-2.06,-2.12,1.1,1.42941,-1.0,0.0,96.0,NORMAL,0,0,0,0.00594,0.0361,0.0,1.1352,0.2838
0.15,P,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09868,-2.05961,-2.12,1.1,1.43006,0.72085,0.0,95.99325,NORMAL,0,0,0,0.04334,0.01696,0.0,1.31638,0.32909
0.3,P,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09471,-2.05605,-2.12,1.1,1.43343,0.71983,0.0,95.98258,NORMAL,0,0,0,0.03201,0.01752,0.0,1.31999,0.33
0.45,P,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08753,-2.0539,-2.12,1.1,1.44058,0.71936,0.0,95.9719,NORMAL,0,0,0,0.02248,0.01882,0.00335,1.32,0.33335
0.6,P,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08281,-2.04636,-2.12,1.1,1.44795,0.71729,0.0,95.95463,NORMAL,0,0,0,0.0203,0.02118,0.06935,1.32,0.39935
0.7,P,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08232,-2.03771,-2.12,1.1,1.45173,0.71218,0.0,95.93881,NORMAL,0,0,0,0.02224,0.02182,0.06999,1.32,0.39999
0.8,P,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.0842,-2.02759,-2.12,1.1,1.45445,0.70336,0.0,95.92294,NORMAL,0,0,0,0.01886,0.02139,0.2373,1.32,0.5673
0.9,P,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09433,-2.01068,-2.12,1.1,1.45359,0.69125,0.0,95.88267,NORMAL,0,0,0,0.01571,0.02178,0.33024,1.32,0.66024
1.05,P,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.1321,-1.97613,-2.12,1.1,1.43754,0.65198,0.0,95.80504,NORMAL,0,0,0,0.01807,0.02057,0.40545,1.3055,0.73908
1.15,P,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.16759,-1.95436,-2.12,1.1,1.41606,0.62115,0.0,95.74603,NORMAL,0,0,0,0.00905,0.01997,0.45254,1.17314,0.81925
1.25,P,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.20748,-1.93609,-2.12,1.1,1.38872,0.58887,0.00252,95.68259,NORMAL,0,0,0,0.01784,0.01906,0.45985,1.04147,0.85949
1.35,P,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.24941,-1.92241,-2.12,1.1,1.3579,0.56113,0.00902,95.61903,NORMAL,0,0,0,0.01951,0.01792,0.46,0.93885,0.88528
1.45,P,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.29282,-1.91315,-2.12,1.1,1.32425,0.54883,0.01318,95.55585,NORMAL,0,0,0,0.03679,0.01765,0.46,0.82591,0.91352
1.55,P,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.3371,-1.90784,-2.12,1.1,1.28823,0.57108,0.00622,95.49307,NORMAL,0,0,0,0.03595,0.01805,0.46,0.73108,0.93723
1.65,P,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.38172,-1.90606,-2.12,1.1,1.25051,0.52121,0.02539,95.43059,NORMAL,0,0,0,0.03416,0.01745,0.46,0.66901,0.95275
1.75,P,task1,TO_PICKUP_T1,AVOIDING,T1,WS1,-0.42647,-1.90738,-2.12,1.1,1.21147,0.52079,0.02561,95.36833,NORMAL,0,0,0,0.03642,0.01624,0.46,0.58975,0.97256
