t,mode,task_id,task_state,motion_mode,active_tool,b1_station,robot_x,robot_y,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,pose_error,kalman_covariance,control_v,control_w,control_tv
0.05,PI,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.0995,-2.06005,-2.12,1.1,1.42941,-1.0,0.0,96.0,NORMAL,0,0,0,0.00594,0.0361,0.0,1.0032,0.2508
0.15,PI,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09742,-2.05961,-2.12,1.1,1.43073,0.72128,0.0,95.99357,NORMAL,0,0,0,0.04635,0.01696,0.0,1.30175,0.32544
0.3,PI,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09238,-2.05593,-2.12,1.1,1.43553,0.72083,0.0,95.98293,NORMAL,0,0,0,0.02031,0.01761,0.0,1.31975,0.32994
0.45,PI,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08475,-2.05417,-2.12,1.1,1.44303,0.72086,0.0,95.97225,NORMAL,0,0,0,0.02351,0.01883,0.00081,1.32,0.33081
0.6,PI,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.07964,-2.04695,-2.12,1.1,1.45069,0.7193,0.0,95.95575,NORMAL,0,0,0,0.00942,0.02121,0.06779,1.32,0.39779
0.7,PI,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.07915,-2.03818,-2.12,1.1,1.45456,0.71447,0.0,95.94005,NORMAL,0,0,0,0.01798,0.02198,0.06987,1.32,0.39987
0.8,PI,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.08111,-2.02795,-2.12,1.1,1.45725,0.7054,0.0,95.92419,NORMAL,0,0,0,0.00767,0.02156,0.22035,1.32,0.55035
0.9,PI,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.09176,-2.01112,-2.12,1.1,1.45616,0.69305,0.0,95.88544,NORMAL,0,0,0,0.01553,0.02178,0.32969,1.32,0.65969
1.05,PI,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.13041,-1.97596,-2.12,1.1,1.43931,0.65309,0.0,95.80711,NORMAL,0,0,0,0.01987,0.02052,0.41304,1.32,0.74304
1.15,PI,task1,TO_PICKUP_T1,ROUTE,T1,WS1,-0.16666,-1.95338,-2.12,1.1,1.41749,0.62129,0.0,95.74686,NORMAL,0,0,0,0.00822,0.01985,0.46154,1.27808,0.80202
