t,control_mode,slam_algorithm,localization_mode,task_id,task_state,motion_mode,planner_mode,active_tool,b1_station,robot_x,robot_y,robot_theta,est_x,est_y,est_theta,pose_error,kalman_covariance,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,slam_landmarks,slam_updates,slam_new_landmarks,grid_occupied_cells,grid_free_cells,grid_updates,grid_entropy,scan_match_score,cartographer_submaps,loop_closures,planner_wp_x,planner_wp_y,planner_wp_active,control_v,control_w,control_tv,slam_map,grid_map
0.05,PID,CARTOGRAPHER_SUBMAP,CARTOGRAPHER_SUBMAP_SCAN_MATCHING,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-1.85864,-1.81818,1.01184,-1.86,-1.813,1.012,0.00672,0.03488,-2.12,1.76,2.87903,-1.0,0.0,96.0,NORMAL,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-1.28,1.0,0,0.374,0.8976,0.5984,,
0.15,PID,CARTOGRAPHER_SUBMAP,CARTOGRAPHER_SUBMAP_SCAN_MATCHING,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.84899,-1.80355,1.00814,-1.852,-1.792,1.013,0.02043,0.03243,-2.12,1.76,2.87083,0.47061,0.01045,95.94038,NORMAL,0,0,0,8,18,8,8,13,18,0.56514,1.03889,1,0,-1.28,1.0,0,0.53198,0.71247,0.80266,"O1:-1.97,-2.51,s2","O1:-1.97,-2.51,s2"
0.3,PID,CARTOGRAPHER_SUBMAP,CARTOGRAPHER_SUBMAP_SCAN_MATCHING,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.81831,-1.75587,1.00009,-1.831,-1.741,1.014,0.03298,0.02601,-2.12,1.76,2.82832,0.50938,0.00573,95.83147,NORMAL,0,0,0,9,45,9,9,24,45,0.40107,3.27778,1,0,-1.28,1.0,0,0.54941,0.68842,0.8321,"O1:-1.97,-2.51,s7;O2:-1.79,-2.51,s5;O3:-2.69,-1.61,s4;O4:-1.25,-2.51,s4;O5:-2.69,-1.43,s4;O6:-2.33,-2.51,s4;O7:-2.69,-1.79,s4;O8:-2.69,-1.97,s2;O9:-2.69,-2.15,s2","O1:-1.97,-2.51,s7;O2:-1.79,-2.51,s5;O3:-2.69,-1.61,s4;O4:-1.25,-2.51,s4;O5:-2.69,-1.43,s4;O6:-2.33,-2.51,s4;O7:-2.69,-1.79,s4;O8:-2.69,-1.97,s2;O9:-2.69,-2.15,s2"
0.45,PID,CARTOGRAPHER_SUBMAP,CARTOGRAPHER_SUBMAP_SCAN_MATCHING,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.77799,-1.69452,1.03853,-1.796,-1.693,1.039,0.02364,0.02133,-2.12,1.76,2.76398,0.56694,0.00132,95.72109,NORMAL,0,0,0,11,74,11,11,30,74,0.3557,3.41,1,0,-1.28,1.0,0,0.54998,0.6271,0.848,"O1:-1.79,-2.51,s11;O2:-1.97,-2.51,s10;O3:-2.69,-1.61,s7;O4:-2.69,-1.79,s7;O5:-1.25,-2.51,s7;O6:-2.33,-2.51,s7;O7:-2.69,-1.43,s5;O8:-2.69,-1.97,s5;O9:-0.89,-1.25,s2;O10:-2.69,-2.15,s2;O11:-2.69,-1.25,s2","O1:-1.79,-2.51,s11;O2:-1.97,-2.51,s10;O3:-2.69,-1.61,s7;O4:-2.69,-1.79,s7;O5:-1.25,-2.51,s7;O6:-2.33,-2.51,s7;O7:-2.69,-1.43,s5;O8:-2.69,-1.97,s5;O9:-0.89,-1.25,s2;O10:-2.69,-2.15,s2;O11:-2.69,-1.25,s2"
0.6,PID,CARTOGRAPHER_SUBMAP,CARTOGRAPHER_SUBMAP_SCAN_MATCHING,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-1.73664,-1.62522,1.12253,-1.759,-1.625,1.11,0.02521,0.01796,-2.12,1.76,2.69006,0.63222,0.0,95.61118,NORMAL,0,0,0,13,102,13,13,31,102,0.3139,3.48333,1,0,-1.28,1.0,0,0.55,0.49777,0.88035,"O1:-1.79,-2.51,s15;O2:-1.97,-2.51,s13;O3:-2.69,-1.79,s10;O4:-2.69,-1.61,s10;O5:-2.69,-1.97,s8;O6:-2.33,-2.51,s7;O7:-1.25,-2.51,s7;O8:-0.89,-1.25,s5;O9:-2.69,-1.25,s5;O10:-2.69,-1.43,s5;O11:-2.15,-2.51,s3;O12:-2.69,-2.15,s2;O13:-1.61,-2.51,s2","O1:-1.79,-2.51,s15;O2:-1.97,-2.51,s13;O3:-2.69,-1.79,s10;O4:-2.69,-1.61,s10;O5:-2.69,-1.97,s8;O6:-2.33,-2.51,s7;O7:-1.25,-2.51,s7;O8:-0.89,-1.25,s5;O9:-2.69,-1.25,s5;O10:-2.69,-1.43,s5;O11:-2.15,-2.51,s3;O12:-2.69,-2.15,s2;O13:-1.61,-2.51,s2"
0.7,PID,CARTOGRAPHER_SUBMAP,CARTOGRAPHER_SUBMAP_SCAN_MATCHING,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-1.71251,-1.57683,1.16788,-1.73,-1.573,1.154,0.02873,0.01627,-2.12,1.76,2.63886,0.67905,0.0,95.53823,NORMAL,0,0,0,13,122,13,13,34,122,0.30041,3.58,1,0,-1.28,1.0,0,0.55,0.428,0.8978,"O1:-1.79,-2.51,s19;O2:-1.97,-2.51,s13;O3:-2.69,-1.79,s12;O4:-2.69,-1.97,s10;O5:-2.69,-1.61,s10;O6:-0.89,-1.25,s9;O7:-2.69,-1.25,s7;O8:-2.33,-2.51,s7;O9:-2.69,-1.43,s7;O10:-1.25,-2.51,s7;O11:-2.15,-2.51,s5;O12:-1.61,-2.51,s4;O13:-2.69,-2.15,s2","O1:-1.79,-2.51,s19;O2:-1.97,-2.51,s13;O3:-2.69,-1.79,s12;O4:-2.69,-1.97,s10;O5:-2.69,-1.61,s10;O6:-0.89,-1.25,s9;O7:-2.69,-1.25,s7;O8:-2.33,-2.51,s7;O9:-2.69,-1.43,s7;O10:-1.25,-2.51,s7;O11:-2.15,-2.51,s5;O12:-1.61,-2.51,s4;O13:-2.69,-2.15,s2"
0.8,PID,CARTOGRAPHER_SUBMAP,CARTOGRAPHER_SUBMAP_SCAN_MATCHING,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-1.69063,-1.52728,1.20692,-1.703,-1.532,1.19,0.02041,0.01492,-2.12,1.76,2.5867,0.65097,0.0,95.46553,NORMAL,0,0,0,15,142,15,15,39,142,0.28926,3.6,1,0,-1.28,1.0,0,0.55,0.38094,0.90956,"O1:-1.79,-2.51,s23;O2:-1.97,-2.51,s13;O3:-2.69,-1.97,s12;O4:-2.69,-1.61,s12;O5:-2.69,-1.79,s12;O6:-0.89,-1.25,s11;O7:-2.69,-1.25,s9;O8:-2.69,-1.43,s9;O9:-2.15,-2.51,s7;O10:-1.25,-2.51,s7;O11:-2.33,-2.51,s7;O12:-1.61,-2.51,s5;O13:-2.69,-2.15,s2;O14:-0.89,-1.07,s2","O1:-1.79,-2.51,s23;O2:-1.97,-2.51,s13;O3:-2.69,-1.97,s12;O4:-2.69,-1.61,s12;O5:-2.69,-1.79,s12;O6:-0.89,-1.25,s11;O7:-2.69,-1.25,s9;O8:-2.69,-1.43,s9;O9:-2.15,-2.51,s7;O10:-1.25,-2.51,s7;O11:-2.33,-2.51,s7;O12:-1.61,-2.51,s5;O13:-2.69,-2.15,s2;O14:-0.89,-1.07,s2"
0.9,PID,CARTOGRAPHER_SUBMAP,CARTOGRAPHER_SUBMAP_SCAN_MATCHING,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.67078,-1.47677,1.24171,-1.677,-1.478,1.224,0.02424,0.01385,-2.12,1.76,2.53395,0.61991,0.0,95.39299,NORMAL,0,0,0,15,159,15,15,41,159,0.25815,3.46111,1,0,-1.28,1.0,0,0.55,0.33296,0.92156,"O1:-1.79,-2.51,s26;O2:-1.97,-2.51,s15;O3:-2.69,-1.61,s14;O4:-0.89,-1.25,s13;O5:-2.69,-1.97,s13;O6:-2.69,-1.79,s12;O7:-2.69,-1.25,s11;O8:-2.69,-1.43,s11;O9:-2.33,-2.51,s7;O10:-2.15,-2.51,s7;O11:-1.25,-2.51,s7;O12:-1.61,-2.51,s6;O13:-0.89,-1.07,s4;O14:-1.43,-2.51,s3;O15:-2.69,-2.15,s2","O1:-1.79,-2.51,s26;O2:-1.97,-2.51,s15;O3:-2.69,-1.61,s14;O4:-0.89,-1.25,s13;O5:-2.69,-1.97,s13;O6:-2.69,-1.79,s12;O7:-2.69,-1.25,s11;O8:-2.69,-1.43,s11;O9:-2.33,-2.51,s7;O10:-2.15,-2.51,s7;O11:-1.25,-2.51,s7;O12:-1.61,-2.51,s6;O13:-0.89,-1.07,s4;O14:-1.43,-2.51,s3;O15:-2.69,-2.15,s2"
1.05,PID,CARTOGRAPHER_SUBMAP,CARTOGRAPHER_SUBMAP_SCAN_MATCHING,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.64438,-1.39962,1.28496,-1.651,-1.41,1.268,0.01564,0.01267,-2.12,1.76,2.45393,0.58925,0.00246,95.28449,NORMAL,0,0,0,16,175,16,16,42,175,0.24499,3.6,1,0,-1.28,1.0,0,0.55,0.268,0.9378,"O1:-1.79,-2.51,s29;O2:-2.69,-1.61,s17;O3:-0.89,-1.25,s16;O4:-1.97,-2.51,s16;O5:-2.69,-1.43,s14;O6:-2.69,-1.97,s13;O7:-2.69,-1.79,s12;O8:-2.69,-1.25,s11;O9:-1.61,-2.51,s9;O10:-2.15,-2.51,s7;O11:-2.33,-2.51,s7;O12:-1.25,-2.51,s7;O13:-0.89,-1.07,s5;O14:-1.43,-2.51,s4;O15:-0.89,-0.89,s2;O16:-2.69,-2.15,s2","O1:-1.79,-2.51,s29;O2:-2.69,-1.61,s17;O3:-0.89,-1.25,s16;O4:-1.97,-2.51,s16;O5:-2.69,-1.43,s14;O6:-2.69,-1.97,s13;O7:-2.69,-1.79,s12;O8:-2.69,-1.25,s11;O9:-1.61,-2.51,s9;O10:-2.15,-2.51,s7;O11:-2.33,-2.51,s7;O12:-1.25,-2.51,s7;O13:-0.89,-1.07,s5;O14:-1.43,-2.51,s4;O15:-0.89,-0.89,s2;O16:-2.69,-2.15,s2"
1.15,PID,CARTOGRAPHER_SUBMAP,CARTOGRAPHER_SUBMAP_SCAN_MATCHING,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-1.62858,-1.34736,1.30844,-1.628,-1.356,1.294,0.01959,0.01209,-2.12,1.76,2.40014,0.57807,0.00457,95.21235,NORMAL,0,0,0,16,183,16,16,43,183,0.23942,3.55,1,0,-1.28,1.0,0,0.55,0.23646,0.94568,"O1:-1.79,-2.51,s29;O2:-2.69,-1.61,s19;O3:-0.89,-1.25,s18;O4:-2.69,-1.43,s16;O5:-1.97,-2.51,s16;O6:-2.69,-1.97,s13;O7:-2.69,-1.79,s12;O8:-2.69,-1.25,s11;O9:-1.61,-2.51,s9;O10:-2.15,-2.51,s7;O11:-2.33,-2.51,s7;O12:-1.25,-2.51,s7;O13:-0.89,-1.07,s5;O14:-1.43,-2.51,s4;O15:-0.89,-0.89,s4;O16:-2.69,-2.15,s2","O1:-1.79,-2.51,s29;O2:-2.69,-1.61,s19;O3:-0.89,-1.25,s18;O4:-2.69,-1.43,s16;O5:-1.97,-2.51,s16;O6:-2.69,-1.97,s13;O7:-2.69,-1.79,s12;O8:-2.69,-1.25,s11;O9:-1.61,-2.51,s9;O10:-2.15,-2.51,s7;O11:-2.33,-2.51,s7;O12:-1.25,-2.51,s7;O13:-0.89,-1.07,s5;O14:-1.43,-2.51,s4;O15:-0.89,-0.89,s4;O16:-2.69,-2.15,s2"
