t,control_mode,slam_algorithm,localization_mode,slam_feature_type,task_id,task_state,motion_mode,planner_mode,active_tool,b1_station,robot_x,robot_y,robot_theta,est_x,est_y,est_theta,pose_error,kalman_covariance,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,slam_feature_count,slam_landmarks,slam_updates,slam_new_landmarks,grid_occupied_cells,grid_free_cells,grid_updates,grid_entropy,scan_match_score,cartographer_submaps,loop_closures,planner_wp_x,planner_wp_y,planner_wp_active,planner_recovery_count,control_v,control_w,control_tv,slam_map,grid_map
0.05,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09996,-2.05777,1.60561,-0.1,-2.059,1.608,0.00139,0.0361,-2.12,1.1,1.46328,-1.0,0.0,96.0,NORMAL,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.374,0.8976,0.5984,,
0.15,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.10017,-2.04254,1.60922,-0.131,-2.038,1.622,0.03365,0.01679,-2.12,1.1,1.46001,0.7135,0.0,95.94782,NORMAL,0,0,0,0,1,4,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.35531,1.27675,0.71187,"O1:-0.63,-1.26,s2",
0.3,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09962,-2.01081,1.66192,-0.108,-2.023,1.642,0.00788,0.0166,-2.12,1.1,1.45023,0.689,0.0,95.87045,NORMAL,0,0,0,0,1,10,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.36387,1.31858,0.73299,"O1:-0.64,-1.26,s8",
0.45,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.10097,-1.9627,1.78923,-0.093,-1.985,1.742,0.00864,0.01799,-2.12,1.1,1.43597,0.65244,0.0,95.78861,NORMAL,0,0,0,0,1,15,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.41603,1.31995,0.78549,"O1:-0.65,-1.27,s14",
0.6,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.11256,-1.89873,1.98524,-0.122,-1.917,1.939,0.01569,0.01743,-2.12,1.1,1.41148,0.59915,0.00113,95.6956,NORMAL,0,0,0,0,1,20,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.49898,1.32,0.86845,"O1:-0.61,-1.26,s18",
0.7,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.13047,-1.85132,2.11828,-0.128,-1.88,2.063,0.00846,0.01713,-2.12,1.1,1.38594,0.55117,0.01233,95.62429,NORMAL,0,0,0,0,1,24,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.54298,1.32,0.91246,"O1:-0.62,-1.27,s22",
0.8,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.15575,-1.80537,2.24886,-0.121,-1.846,2.183,0.02819,0.01678,-2.12,1.1,1.35327,0.50157,0.03649,95.549,NORMAL,0,0,0,0,1,28,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.54928,1.29349,0.92538,"O1:-0.65,-1.27,s26",
0.9,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.18695,-1.76299,2.37265,-0.172,-1.79,2.32,0.00628,0.01567,-2.12,1.1,1.31618,0.44804,0.07693,95.47334,NORMAL,0,0,0,0,1,33,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.54993,1.20122,0.9491,"O1:-0.61,-1.28,s30",
1.05,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.2431,-1.70734,2.54562,-0.226,-1.715,2.426,0.01008,0.01514,-2.12,1.1,1.25358,0.37243,0.15944,95.36042,NORMAL,0,0,0,0,1,42,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.55,1.20908,0.99557,"O1:-0.59,-1.05,s39",
1.15,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.28426,-1.67633,2.67474,-0.258,-1.64,2.504,0.05108,0.01388,-2.12,1.1,1.20863,0.32294,0.22956,95.28484,NORMAL,0,0,0,0,1,48,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.52867,1.30864,1.04179,"O1:-0.57,-1.12,s45",
