t,control_mode,slam_algorithm,localization_mode,slam_feature_type,task_id,task_state,motion_mode,planner_mode,active_tool,b1_station,robot_x,robot_y,robot_theta,est_x,est_y,est_theta,pose_error,kalman_covariance,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,slam_feature_count,slam_landmarks,slam_updates,slam_new_landmarks,grid_occupied_cells,grid_free_cells,grid_updates,grid_entropy,scan_match_score,cartographer_submaps,loop_closures,planner_wp_x,planner_wp_y,planner_wp_active,planner_recovery_count,control_v,control_w,control_tv,slam_map,grid_map
0.05,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09996,-2.05779,1.60554,-0.1,-2.059,1.608,0.00139,0.0361,-2.12,1.1,1.46328,-1.0,0.0,96.0,NORMAL,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.374,0.8976,0.5984,,
0.15,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.10013,-2.04246,1.6084,-0.096,-2.049,1.608,0.00469,0.03834,-2.12,1.1,1.46004,0.71357,0.0,95.94766,NORMAL,0,0,0,0,2,4,2,2,4,4,0.60486,0.0,0,0,-1.46,-1.52,0,0,0.36113,1.27675,0.70605,,
0.3,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09939,-2.01059,1.65986,-0.108,-2.022,1.641,0.00797,0.04068,-2.12,1.1,1.45023,0.68879,0.0,95.86971,NORMAL,0,0,0,0,2,10,2,2,7,10,0.4077,0.0,0,0,-1.46,-1.52,0,0,0.36314,1.31858,0.72619,"O1:-0.53,-1.25,s4;O2:-0.71,-1.25,s4","O1:-0.53,-1.25,s4;O2:-0.71,-1.25,s4"
0.45,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.10073,-1.96267,1.78321,-0.095,-1.979,1.75,0.0046,0.04222,-2.12,1.1,1.43623,0.65274,0.0,95.78805,NORMAL,0,0,0,0,2,15,2,2,7,15,0.32919,0.0,0,0,-1.46,-1.52,0,0,0.41735,1.31995,0.78074,"O1:-0.53,-1.25,s7;O2:-0.71,-1.25,s6","O1:-0.53,-1.25,s7;O2:-0.71,-1.25,s6"
0.6,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.11212,-1.89793,1.98004,-0.1,-1.927,1.926,0.00891,0.04334,-2.12,1.1,1.4117,0.59923,0.00112,95.69334,NORMAL,0,0,0,0,2,20,2,2,8,20,0.29335,0.0,0,0,-1.46,-1.52,0,0,0.50597,1.32,0.86937,"O1:-0.53,-1.25,s11;O2:-0.71,-1.25,s6","O1:-0.53,-1.25,s11;O2:-0.71,-1.25,s6"
0.7,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.12992,-1.85029,2.11344,-0.121,-1.887,2.058,0.01255,0.04397,-2.12,1.1,1.38616,0.55071,0.01249,95.62152,NORMAL,0,0,0,0,2,24,2,2,8,24,0.27425,0.0,0,0,-1.46,-1.52,0,0,0.54335,1.32,0.90675,"O1:-0.53,-1.25,s14;O2:-0.71,-1.25,s7","O1:-0.53,-1.25,s14;O2:-0.71,-1.25,s7"
0.8,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,SLAM_WAYPOINT,T1,WS1,-0.15341,-1.80581,2.24264,-0.14,-1.839,2.187,0.01213,0.04453,-2.12,1.1,1.35372,0.50094,0.03688,95.5462,NORMAL,0,0,0,0,3,28,3,3,8,28,0.25121,0.0,0,0,-1.012,-1.755,1,0,0.25135,1.32,1.20779,"O1:-0.53,-1.25,s16;O2:-0.71,-1.25,s8;O3:-0.89,-1.25,s2","O1:-0.53,-1.25,s16;O2:-0.71,-1.25,s8;O3:-0.89,-1.25,s2"
0.9,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,SLAM_WAYPOINT,T1,WS1,-0.17271,-1.77542,2.3619,-0.16,-1.801,2.31,0.01229,0.04491,-2.12,1.1,1.32376,0.4563,0.06972,95.507,NORMAL,0,0,0,0,3,33,3,3,8,33,0.34718,0.0,0,0,-1.0,-1.758,1,0,0.26321,1.32,1.21965,"O1:-0.53,-1.25,s19;O2:-0.71,-1.25,s8;O3:-0.89,-1.25,s3","O1:-0.53,-1.25,s19;O2:-0.71,-1.25,s8;O3:-0.89,-1.25,s3"
1.05,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,SLAM_WAYPOINT,T1,WS1,-0.19525,-1.74578,2.54565,-0.202,-1.77,2.485,0.02096,0.04518,-2.12,1.1,1.29405,0.41709,0.10711,95.4478,NORMAL,0,0,0,0,4,42,4,4,11,42,0.27783,0.0,0,0,-0.991,-1.76,1,0,0.26044,1.24107,1.25144,"O1:-0.53,-1.25,s22;O2:-0.71,-1.25,s11;O3:-0.89,-1.25,s3;O4:-0.53,-0.89,s3","O1:-0.53,-1.25,s22;O2:-0.71,-1.25,s11;O3:-0.89,-1.25,s3;O4:-0.53,-0.89,s3"
1.15,PID,HECTOR_GRID_MATCHING,HECTOR_SCAN_MATCHING_GRID,landmarks,task1,TO_PICKUP_T1,AVOIDING,SLAM_WAYPOINT,T1,WS1,-0.2125,-1.72903,2.66947,-0.219,-1.752,2.598,0.02135,0.0453,-2.12,1.1,1.27518,0.39564,0.13095,95.40841,NORMAL,0,0,0,0,4,48,4,4,12,48,0.25266,0.0,0,0,-0.986,-1.761,1,0,0.26123,1.20187,1.28054,"O1:-0.53,-1.25,s24;O2:-0.71,-1.25,s11;O3:-0.89,-1.25,s5;O4:-0.53,-0.89,s5","O1:-0.53,-1.25,s24;O2:-0.71,-1.25,s11;O3:-0.89,-1.25,s5;O4:-0.53,-0.89,s5"
