t,control_mode,slam_algorithm,localization_mode,slam_feature_type,task_id,task_state,motion_mode,planner_mode,active_tool,b1_station,robot_x,robot_y,robot_theta,est_x,est_y,est_theta,pose_error,kalman_covariance,b1_x,b1_y,distance_to_target,min_obstacle,obstacle_risk,battery,battery_mode,completed_task_count,task_complete,charging,slam_feature_count,slam_landmarks,slam_updates,slam_new_landmarks,grid_occupied_cells,grid_free_cells,grid_updates,grid_entropy,scan_match_score,cartographer_submaps,loop_closures,planner_wp_x,planner_wp_y,planner_wp_active,planner_recovery_count,control_v,control_w,control_tv,slam_map,grid_map,phase2_state,phase2_scenario,phase2_compliance,phase2_moved_objects,phase2_motion_model,mapping_evidence_pct,map_revealed_pct,dynamic_obstacle_signal_x,dynamic_obstacle_signal_y,dynamic_obstacle_active,temporary_blocker_active,obstacle_crossings,replan_triggers,frontier_count,unknown_cells,mapped_landmark_count,mapping_update_count,mapped_occupied_cells,grid_mapping_update_count,dynamic_pallet_x,dynamic_pallet_y,dynamic_pallet_theta,temporary_blocker_x,temporary_blocker_y,temporary_blocker_theta
0.05,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09996,-2.05779,1.60554,-0.1,-2.059,1.608,0.00139,0.0361,-2.12,1.1,1.46328,-1.0,0.0,96.0,NORMAL,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.374,0.8976,0.5984,,,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,6.0,6.0,0.95,0.65,1,0,0,0,6,32,0,0,0,0,0.95,0.65,-1.98567,0.95,0.65,-1.98567
0.15,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09955,-2.04774,1.61957,-0.127,-2.044,1.637,0.02857,0.01683,-2.12,1.1,1.4609,0.71507,0.0,95.95375,NORMAL,0,0,0,0,1,4,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.23655,1.27675,0.83064,"O1:-0.64,-1.26,s2",,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,8.75594,8.75594,0.94194,0.6317,1,0,0,0,6,32,1,4,0,0,0.94194,0.6317,-1.98567,0.94194,0.6317,-1.98567
0.3,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09753,-2.02821,1.69782,-0.096,-2.037,1.688,0.00234,0.01686,-2.12,1.1,1.45628,0.70051,0.0,95.89876,NORMAL,0,0,0,0,1,9,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.24706,1.31858,0.85368,"O1:-0.66,-1.27,s8",,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,8.82569,8.82569,0.92985,0.60424,1,0,0,0,6,32,1,9,0,0,0.92985,0.60424,-1.98567,0.92985,0.60424,-1.98567
0.45,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.09762,-1.99212,1.84894,-0.108,-2.012,1.823,0.01218,0.01882,-2.12,1.1,1.44728,0.67628,0.0,95.8392,NORMAL,0,0,0,0,1,13,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.29312,1.31995,0.90008,"O1:-0.62,-1.27,s11",,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,8.88134,8.88134,0.91775,0.57679,1,0,0,0,6,32,1,13,0,0,0.91775,0.57679,-1.98567,0.91775,0.57679,-1.98567
0.6,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,ROUTE,DIRECT,T1,WS1,-0.10698,-1.94497,2.0352,-0.114,-1.973,2.0,0.0164,0.01827,-2.12,1.1,1.42746,0.63238,0.0,95.77033,NORMAL,0,0,0,0,1,19,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.34993,1.32,0.9569,"O1:-0.62,-1.28,s17",,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,8.9646,8.9646,0.90566,0.54933,1,0,0,0,6,32,1,19,0,0,0.90566,0.54933,-1.98567,0.90566,0.54933,-1.98567
0.7,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.12053,-1.91068,2.15501,-0.107,-1.937,2.114,0.01135,0.01855,-2.12,1.1,1.40727,0.59861,0.00119,95.7184,NORMAL,0,0,0,0,1,23,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.38396,1.28061,1.00078,"O1:-0.64,-1.28,s21",,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,9.01995,9.01995,0.8976,0.53103,1,0,0,0,6,32,1,23,0,0,0.8976,0.53103,-1.98567,0.8976,0.53103,-1.98567
0.8,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.13917,-1.8771,2.2708,-0.127,-1.923,2.232,0.02934,0.01918,-2.12,1.1,1.38232,0.56234,0.00865,95.66225,NORMAL,0,0,0,0,1,26,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.40875,1.08469,1.07455,"O1:-0.64,-1.29,s24",,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,9.06138,9.06138,0.88954,0.51272,1,0,0,0,6,32,1,26,0,0,0.88954,0.51272,-1.98567,0.88954,0.51272,-1.98567
0.9,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.1624,-1.84553,2.37163,-0.161,-1.888,2.328,0.02874,0.01699,-2.12,1.1,1.35358,0.52234,0.02481,95.60487,NORMAL,0,0,0,0,1,30,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.41388,0.97719,1.10655,"O1:-0.61,-1.29,s28",,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,9.11652,9.11652,0.88148,0.49442,1,0,0,0,6,32,1,30,0,0,0.88148,0.49442,-1.98567,0.88148,0.49442,-1.98567
1.05,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.20457,-1.80226,2.5037,-0.175,-1.838,2.461,0.02635,0.01627,-2.12,1.1,1.30444,0.46684,0.06103,95.51805,NORMAL,0,0,0,0,1,36,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.42164,0.84042,1.14851,"O1:-0.63,-1.29,s34",,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,9.19899,9.19899,0.86938,0.46697,1,0,0,0,6,32,1,36,0,0,0.86938,0.46697,-1.98567,0.86938,0.46697,-1.98567
1.15,PID,KALMAN_LANDMARK,KALMAN_LANDMARK_SLAM_LIDAR,landmarks,task1,TO_PICKUP_T1,AVOIDING,DIRECT,T1,WS1,-0.23635,-1.77629,2.58451,-0.189,-1.82,2.552,0.04402,0.01543,-2.12,1.1,1.26861,0.42802,0.09588,95.45943,NORMAL,0,0,0,0,1,41,1,0,0,0,0.0,0.0,0,0,-1.46,-1.52,0,0,0.42156,0.79616,1.17597,"O1:-0.61,-1.30,s39",,RUNNING,UNKNOWN_MAP_SLAM_AVOIDANCE,unknown_map;frontier_targets;static_unknown_obstacles;dynamic_wandering_robot;costmap;slam_path_planning;obstacle_avoidance,P2_Wanderer,dynamic_wandering_robot,9.26751,9.26751,0.86132,0.44866,1,0,0,0,6,32,1,41,0,0,0.86132,0.44866,-1.98567,0.86132,0.44866,-1.98567
